currency,rate,asset_class
USD,1.1411,forex
JPY,164.62,forex
BGN,1.9558,other
CZK,24.757,other
DKK,7.4595,other
GBP,0.8426,forex
HUF,403.15,other
PLN,4.287,other
RON,5.0452,other
SEK,10.959,other
CHF,0.9383,forex
ISK,144.2,other
NOK,11.524,other
TRY,44.7723,other
AUD,1.7592,other
BRL,6.3685,other
CAD,1.563,forex
CNY,8.1955,other
HKD,8.954,other
IDR,18615.62,other
ILS,3.9885,other
INR,97.836,other
KRW,1551.09,other
MXN,21.8225,other
MYR,4.8274,other
NZD,1.8936,other
PHP,63.631,other
SGD,1.4683,other
THB,37.211,other
ZAR,20.2736,other
